"tropeid","tropename"
"tr01635","Decoy Damsel"
"tr01636","Film Noir"
"tr01637","Friends with Benefits"
"tr01638","Girl Friday"
"tr01639","I'm Dying, Please Take My MacGuffin"
"tr01640","Knight in Sour Armor"
"tr01641","LikeASonToMe"
"tr01642","Lingerie Scene"
"tr01643","Mock Guffin"
"tr01644","Obviously Evil"
"tr01645","Plot Hole"
"tr01646","Worthless Treasure Twist"
"tr01647","Beauty Equals Goodness"
"tr01648","Blind Musician"
"tr01649","Con Man"
"tr01650","Corrupt Church"
"tr01651","Cut-and-Paste Note"
"tr01652","Demonic Dummy"
"tr01653","Dream-Crushing Handicap"
"tr01654","Gold and White Are Divine"
"tr01655","Goodbye, Cruel World!"
"tr01656","Inspired by..."
"tr01657","Kindly Housekeeper"
"tr01658","Nursery Rhyme"
"tr01659","Only in It for the Money"
"tr01660","QuackDoctor"
"tr01661","Silly Rabbit, Idealism Is for Kids!"
"tr01662","The Corrupter"
"tr01663","TheReasonYouSuckSpeech"
"tr01664","Unaccustomed as I Am to Public Speaking..."
"tr01665","Ventriloquism"
"tr01666","AdaptationTitleChange"
"tr01667","Ain't Too Proud to Beg"
"tr01668","Ballistic Discount"
"tr01669","Battle Discretion Shot"
"tr01670","Cacophony Cover-Up"
"tr01671","Corporal Punishment"
"tr01672","Dead-Hand Shot"
"tr01673","Disproportionate Retribution"
"tr01674","Do Not Do This Cool Thing"
"tr01675","Domestic Abuse"
"tr01676","Five-Second Foreshadowing"
"tr01677","Food Slap"
"tr01678","Freudian Excuse"
"tr01679","Killed Mid-Sentence"
"tr01680","Kosher Nostra"
"tr01681","Market-Based Title"
"tr01682","MisterSandmanSequence"
"tr01683","Mob-Boss Suit Fitting"
"tr01684","No Honor Among Thieves"
"tr01685","Offscreen Moment of Awesome"
"tr01686","One Steve Limit"
"tr01687","Parental Favoritism"
"tr01688","Pie in the Face"
"tr01689","Rape as Drama"
"tr01690","Red Oni, Blue Oni"
"tr01691","Rewarded as a Traitor Deserves"
"tr01692","Roaring Rampage of Revenge"
"tr01693","Sibling Rivalry"
"tr01694","Sickbed Slaying"
"tr01695","The Fagin"
"tr01696","The Irish Mob"
"tr01697","The Mafia"
"tr01698","Tragic Hero"
"tr01699","Video Credits"
"tr01700","A Fool and His New Money Are Soon Parted"
"tr01701","Belligerent Sexual Tension"
"tr01702","Bitch in Sheep's Clothing"
"tr01703","Everyone Has Standards"
"tr01704","Funny Background Event"
"tr01705","Get Rich Quick Scheme"
"tr01706","GreyAndGrayMorality"
"tr01707","Hustler"
"tr01708","Justified Trope"
"tr01709","Old Money"
"tr01710","ScammingTheBereaved"
"tr01711","The Con"
"tr01712","Too Good to Be True"
"tr01713","Using You All Along"
"tr01714","Women Are Wiser"
"tr01715","Adaptational Badass"
"tr01716","Adaptational Ugliness"
"tr01717","Break His Heart to Save Him"
"tr01718","Cane Fu"
"tr01719","EpicTrackingShotEpic"
"tr01720","Evil Feels Good"
"tr01721","Evil Makes You Ugly"
"tr01722","Forceful Kiss"
"tr01723","FreezeFrameBonus"
"tr01724","Gratuitous Laboratory Flasks"
"tr01725","Happy Rain"
"tr01726","Hyde Plays Jekyll"
"tr01727","Idiosyncratic Wipes"
"tr01728","In-Camera Effects"
"tr01729","Lecture as Exposition"
"tr01730","Left Hanging"
"tr01731","Mirror Scare"
"tr01732","Moment Killer"
"tr01733","Nice Job Breaking It, Hero!"
"tr01734","NoPeekingRequest"
"tr01735","Other Me Annoys Me"
"tr01736","P.O.V. Cam"
"tr01737","Ready for Lovemaking"
"tr01738","RevelingInTheNewForm"
"tr01739","Split Screen"
"tr01740","This Was His True Form"
"tr01741","Uncanny Valley"
"tr01742","Victorian London"
"tr01743","Visual Innuendo"
"tr01744","Whip Pan"
"tr01745","Hired for Their Looks"
"tr01746","Liquid Courage"
"tr01747","Lurid Tales of Doom"
"tr01748","Mooks"
"tr01749","No Romantic Resolution"
"tr01750","Paparazzi"
"tr01751","SexyFigureGesture"
"tr01752","Split-Screen Phone Call"
"tr01753","Strawman News Media"
"tr01754","Take This Job and Shove It"
"tr01755","Together in Death"
"tr01756","A God Am I"
"tr01757","Adaptation Distillation"
"tr01758","AdaptationalNonsapience"
"tr01759","And Call Him George!"
"tr01760","Artificial Zombie"
"tr01761","ArtisticLicenseMedicine"
"tr01762","Artistic License  Physics"
"tr01763","Asshole Victim"
"tr01764","Bait-and-Switch Credits"
"tr01765","Blank Slate"
"tr01766","Blasphemous Boast"
"tr01767","Bowdlerise"
"tr01768","Brain Transplant"
"tr01769","Bullying a Dragon"
"tr01770","BullyingTheDragon"
"tr01771","Climbing Climax"
"tr01772","Compressed Adaptation"
"tr01773","ContentWarning"
"tr01774","Content Warnings"
"tr01775","Creating Life"
"tr01776","Dead Unicorn Trope"
"tr01777","DrFrankenstein"
"tr01778","Dramatic Thunder"
"tr01779","Everyone Chasing You"
"tr01780","Evolving Credits"
"tr01781","Expanded Universe"
"tr01782","Face-Revealing Turn"
"tr01783","Failed a Spot Check"
"tr01784","Finger-Twitching Revival"
"tr01785","First Time in the Sun"
"tr01786","Flat Character"
"tr01787","Frankenstein's Monster"
"tr01788","GASP!"
"tr01789","Grave Robbing"
"tr01790","Gut Feeling"
"tr01791","Iconic Outfit"
"tr01792","If I Do Not Return"
"tr01793","In Name Only"
"tr01794","Informed Attribute"
"tr01795","Instant Sedation"
"tr01796","Internal Homage"
"tr01797","Invoked Trope"
"tr01798","It's Going Down"
"tr01799","Jerkass Ball"
"tr01800","Kick the Dog"
"tr01801","Kill It with Fire"
"tr01802","Kirk's Rock"
"tr01803","Let's Split Up, Gang"
"tr01804","Lightning Can Do Anything"
"tr01805","Mix-and-Match Man"
"tr01806","Nature vs. Nurture"
"tr01807","Non-Malicious Monster"
"tr01808","Not Named in Opening Credits"
"tr01809","Not Quite Dead"
"tr01810","Obliviously Evil"
"tr01811","Psychopathic Manchild"
"tr01812","RecruitTheMuggles"
"tr01813","Repeat Cut"
"tr01814","Satellite Love Interest"
"tr01815","Staggered Zoom"
"tr01816","Stock Sound Effects"
"tr01817","Strapped to an Operating Table"
"tr01818","The Igor"
"tr01819","They Called Me Mad!"
"tr01820","TropeNamer"
"tr01821","Two First Names"
"tr01822","WhipOfDominance"
"tr01823","You're Insane!"
"tr01824","Affectionate Nickname"
"tr01825","Ambiguous Gender"
"tr01826","ArtisticLicenseBiology"
"tr01827","Beauty Is Bad"
"tr01828","Circus of Fear"
"tr01829","Color Me Black"
"tr01830","Conjoined Twins"
"tr01831","Cringe Comedy"
"tr01832","Crippling Castration"
"tr01833","Cutlass Between the Teeth"
"tr01834","Dark Is Not Evil"
"tr01835","Deliberate Values Dissonance"
"tr01836","Discreet Drink Disposal"
"tr01837","Dramatic Drop"
"tr01838","Dramedy"
"tr01839","Elephant in the Living Room"
"tr01840","Genre Shift"
"tr01841","Horror"
"tr01842","How We Got Here"
"tr01843","I Just Want to Be Normal"
"tr01844","Insistent Terminology"
"tr01845","Instant Soprano"
"tr01846","Inverted"
"tr01847","Invoked"
"tr01848","JoinUsDrone"
"tr01849","Karmic Transformation"
"tr01850","Leave the Two Lovebirds Alone"
"tr01851","LightFeminineDarkFeminine"
"tr01852","Little Black Dress"
"tr01853","Mama Bear"
"tr01854","MultiGenderedOutfit"
"tr01855","Mutants"
"tr01856","Older Than They Look"
"tr01857","Polar Opposite Twins"
"tr01858","Porky Pig Pronunciation"
"tr01859","ProudPapaPassesOutTheCigars"
"tr01860","Punctuated! For! Emphasis!"
"tr01861","Sex by Proxy"
"tr01862","StockShoutOuts"
"tr01863","The Freakshow"
"tr01864","TheStrongman"
"tr01865","The Unintelligible"
"tr01866","Tiny Guy, Huge Girl"
"tr01867","Ugly Hero, Good-Looking Villain"
"tr01868","Vomit Indiscretion Shot"
"tr01869","Your Approval Fills Me with Shame"
"tr01870","All-Star Cast"
"tr01871","Balcony Escape"
"tr01872","Birth/Death Juxtaposition"
"tr01873","Continuity Nod"
"tr01874","Cross-Cast Role"
"tr01875","Death Song"
"tr01876","Dying Dream"
"tr01877","Ensemble Cast"
"tr01878","Extremely Short Timespan"
"tr01879","FilmedStageProduction"
"tr01880","Impoverished Patrician"
"tr01881","Info Dump"
"tr01882","Intermission"
"tr01883","Jerkass"
"tr01884","Madness Mantra"
"tr01885","Mean Boss"
"tr01886","Missed Him by That Much"
"tr01887","Mortal Wound Reveal"
"tr01888","No Good Deed Goes Unpunished"
"tr01889","Nothing Exciting Ever Happens Here"
"tr01890","Sanity Slippage Song"
"tr01891","Screen-to-Stage Adaptation"
"tr01892","Sexy Secretary"
"tr01893","Signature Line"
"tr01894","Talking Down the Suicidal"
"tr01895","The40s"
"tr01896","The Last Dance"
"tr01897","The Prima Donna"
"tr01898","The Von Trope Family"
"tr01899","Time-Shifted Actor"
"tr01900","White-Dwarf Starlet"
"tr01901","Your Days Are Numbered"
"tr01902","Answer Song"
"tr01903","Dance Party Ending"
"tr01904","Follow That Car"
"tr01905","Just Like Robin Hood"
"tr01906","Roofhopping"
"tr01907","Spontaneous Choreography"
"tr01908","Spoof Aesop"
"tr01909","Starving Artist"
"tr01910","Suspiciously Apropos Music"
"tr01911","Femme Fatale Spy"
"tr01912","High-HeelFace Turn"
"tr01913","Historical Beauty Update"
"tr01914","Honey Trap"
"tr01915","Leave Behind a Pistol"
"tr01916","Tank Goodness"
"tr01917","You Have Outlived Your Usefulness"
"tr01918","Black and Gray Morality"
"tr01919","CargoConcealmentCaper"
"tr01920","Deliberately Distressed Damsel"
"tr01921","Even Evil Has Loved Ones"
"tr01922","Excuse Plot"
"tr01923","Farmer's Daughter"
"tr01924","Hilarious in Hindsight"
"tr01925","Invisible Celebrity Guest"
"tr01926","Juggling Loaded Guns"
"tr01927","Point That Somewhere Else"
"tr01928","Some of My Best Friends Are X"
"tr01929","Stealth Pun"
"tr01930","Strongly Worded Letter"
"tr01931","Sure, Let's Go with That"
"tr01932","That Syncing Feeling"
"tr01933","The Family for the Whole Family"
"tr01934","The Ghost"
"tr01935","The Singing Mute"
"tr01936","They Call Me Mister Tibbs"
"tr01937","Tough Room"
"tr01938","Unknown Character"
"tr01939","Which Restroom Dilemma"
"tr01940","You Watch Too Much X"
"tr01941","Adaptation Species Change"
"tr01942","Ass Shove"
"tr01943","Axe Before Entering"
"tr01944","Brownface"
"tr01945","Disposable Sex Worker"
"tr01946","Event Title"
"tr01947","Evilutionary Biologist"
"tr01948","Eyepatch of Power"
"tr01949","Gory Discretion Shot"
"tr01950","Knife Fight"
"tr01951","Outside Ride"
"tr01952","Screaming Woman"
"tr01953","The Coroner"
"tr01954","Touch of the Monster"
"tr01955","Trap Door"
"tr01956","All Musicals Are Adaptations"
"tr01957","Insatiable Newlyweds"
"tr01958","Intercourse with You"
"tr01959","Mistaken for Cheating"
"tr01960","Musical"
"tr01961","Remake"
"tr01962","The Unfair Sex"
"tr01963","With Friends Like These..."
"tr01964","Can't Live With Them, Can't Live Without Them"
"tr01965","Dating Do-Si-Do"
"tr01966","Love Confession"
"tr01967","Sympathetic Adulterer"
"tr01968","The Missus and the Ex"
"tr01969","DiegeticSoundtrackUsage"
"tr01970","Dyeing for Your Art"
"tr01971","Evil Redhead"
"tr01972","Fiery Redhead"
"tr01973","Foot Popping"
"tr01974","Hit Me, Dammit!"
"tr01975","In-Series Nickname"
"tr01976","Stocking Filler"
"tr01977","Title Theme Tune"
"tr01978","A Tragedy of Impulsiveness"
"tr01979","Alas, Poor Villain"
"tr01980","Amoral Attorney"
"tr01981","Author Tract"
"tr01982","Big Badass Battle Sequence"
"tr01983","Bodyguard Betrayal"
"tr01984","BrotherSister Incest"
"tr01985","Byronic Hero"
"tr01986","CasualDangerDialogue"
"tr01987","ConversedTrope"
"tr01988","DefrostingTheIceQueen"
"tr01989","Dragon-in-Chief"
"tr01990","Dying Moment of Awesome"
"tr01991","Heads or Tails?"
"tr01992","Hero Antagonist"
"tr01993","Klingon Promotion"
"tr01994","More Dakka"
"tr01995","Motifs"
"tr01996","Murphy's Bullet"
"tr01997","My Sister Is Off-Limits!"
"tr01998","NamedAfterTheInjury"
"tr01999","No Historical Figures Were Harmed"
"tr02000","Not Quite Starring"
"tr02001","Ooh, Me Accent's Slipping"
"tr02002","Pre-Asskicking One-Liner"
"tr02003","Revised Ending"
"tr02004","Roman à Clef"
"tr02005","Shotguns Are Just Better"
"tr02006","Showdown at High Noon"
"tr02007","Stop Being Stereotypical"
"tr02008","Suicide by Cop"
"tr02009","Villainous Incest"
"tr02010","Wicked Cultured"
"tr02011","You, Get Me Coffee"
"tr02012","You Monster!"
"tr02013","Amazon Chaser"
"tr02014","Ambiguously Brown"
"tr02015","Asian Hooker Stereotype"
"tr02016","Bilingual Dialogue"
"tr02017","Canine Companion"
"tr02018","Chiaroscuro"
"tr02019","Compressed Hair"
"tr02020","Dissonant Serenity"
"tr02021","Dodgy Toupee"
"tr02022","Emotionless Girl"
"tr02023","Eye Scream"
"tr02024","Fallen-on-Hard-Times Job"
"tr02025","Female Misogynist"
"tr02026","Five-Token Band"
"tr02027","Gossipy Hens"
"tr02028","High-Class Call Girl"
"tr02029","Irony"
"tr02030","It's Personal"
"tr02031","Like Goes with Like"
"tr02032","Motor Mouth"
"tr02033","Noodle Incident"
"tr02034","Rape and Revenge"
"tr02035","Rape Discretion Shot"
"tr02036","Sex for Services"
"tr02037","Stiff Upper Lip"
"tr02038","The Face"
"tr02039","The Fundamentalist"
"tr02040","The Hecate Sisters"
"tr02041","The Quiet One"
"tr02042","The Stoic"
"tr02043","Thriller on the Express"
"tr02044","TokenBlackFriend"
"tr02045","UglyAmericanStereotype"
"tr02046","Vehicle Title"
"tr02047","Wacky Americans Have Wacky Names"
"tr02048","Accidental Marriage"
"tr02049","Artistic License  Music"
"tr02050","Be a Whore to Get Your Man"
"tr02051","Beat"
"tr02052","Berate and Switch"
"tr02053","Distant Duet"
"tr02054","Elegant Classical Musician"
"tr02055","Girl Group"
"tr02056","Hair-Contrast Duo"
"tr02057","Lady-in-Waiting"
"tr02058","Morton's Fork"
"tr02059","Royal We"
"tr02060","Sheltered Aristocrat"
"tr02061","TV Telephone Etiquette"
"tr02062","The Makeover"
"tr02063","Dashed Plot Line"
"tr02064","Dead Guy Junior"
"tr02065","Inner Monologue"
"tr02066","Momma's Boy"
"tr02067","Our Acts Are Different"
"tr02068","Paralyzing Fear of Sexuality"
"tr02069","The Lost Lenore"
"tr02070","Alma Mater Song"
"tr02071","Bottle Episode"
"tr02072","Cheating with the Milkman"
"tr02073","Cultural Posturing"
"tr02074","Heat Wave"
"tr02075","Home-Early Surprise"
"tr02076","Ironic Nursery Tune"
"tr02077","Irrelevant Act Opener"
"tr02078","LeavingTheNestSong"
"tr02079","Screaming Birth"
"tr02080","Shiksa Goddess"
"tr02081","Villain Song"
"tr02082","Big Game"
"tr02083","BreakHisHeartToSaveHim"
"tr02084","Casualty in the Ring"
"tr02085","Luke, I Am Your Father"
"tr02086","Please Wake Up"
"tr02087","SoundtrackLullaby"
"tr02088","Tear Jerker"
"tr02089","Abduction Is Love"
"tr02090","Briefcase Full of Money"
"tr02091","But I Would Really Enjoy It"
"tr02092","Conspicuous Consumption"
"tr02093","Flirting Under Fire"
"tr02094","Impersonating an Officer"
"tr02095","Impossibly-Low Neckline"
"tr02096","Intoxication Ensues"
"tr02097","It Makes Sense in Context"
"tr02098","Lovable Rogue"
"tr02099","Money Fetish"
"tr02100","Rich in Dollars, Poor in Sense"
"tr02101","Sophisticated as Hell"
"tr02102","Spoiled Brat"
"tr02103","Weapon for Intimidation"
"tr02104","You Wouldn't Shoot Me"
"tr02105","Zany Scheme"
"tr02106","All Deserts Have Cacti"
"tr02107","New Old West"
"tr02108","SelfRemake"
"tr02109","Stealing from the Till"
"tr02110","The Grand Hunt"
"tr02111","Western"
"tr02112","Auto Erotica"
"tr02113","Blonde, Brunette, Redhead"
"tr02114","Harsher in Hindsight"
"tr02115","HavingAGayOldTime"
"tr02116","SupermodelStrut"
"tr02117","Worst News Judgment Ever"
"tr02118","Big SHUT UP!"
"tr02119","Break-Up/Make-Up Scenario"
"tr02120","Broken Bird"
"tr02121","Call to Adventure"
"tr02122","Cranky Landlord"
"tr02123","Crapsack World"
"tr02124","Cry into Chest"
"tr02125","Death from Above"
"tr02126","Deceased Parents Are the Best"
"tr02127","Don't You Dare Pity Me!"
"tr02128","Historical In-Joke"
"tr02129","Not So Stoic"
"tr02130","Descent into Addiction"
"tr02131","Dull Surprise"
"tr02132","Fairytale Wedding Dress"
"tr02133","Force Feeding"
"tr02134","Glamorous Single Mother"
"tr02135","Millionaire Playboy"
"tr02136","Playing Hard to Get"
"tr02137","Questioning Title?"
"tr02138","Rule of Pool"
"tr02139","ShowWithInAShow"
"tr02140","Soft Glass"
"tr02141","SpinningNewspaper"
"tr02142","Spinning Paper"
"tr02143","Stood Up"
"tr02144","Tabloid Melodrama"
"tr02145","TheDeterminator"
"tr02146","Third Wheel"
"tr02147","Affectionate Pickpocket"
"tr02148","Dark Secret"
"tr02149","Give Him a Normal Life"
"tr02150","Murder Is the Best Solution"
"tr02151","My Secret Pregnancy"
"tr02152","Yellowface"
"tr02153","AccentInterest"
"tr02154","Arc Symbol"
"tr02155","Banned in China"
"tr02156","Beige Prose"
"tr02157","BorderCrossing"
"tr02158","Broken Ace"
"tr02159","CourtMartialed"
"tr02160","Florence Nightingale Effect"
"tr02161","Kangaroo Court"
"tr02162","Lovable Sex Maniac"
"tr02163","Main Characters"
"tr02164","PinkIsErotic"
"tr02165","Point of View"
"tr02166","Rated M for Manly"
"tr02167","Second Love"
"tr02168","SexMirror"
"tr02169","Sickeningly Sweethearts"
"tr02170","Signature Style"
"tr02171","State Sec"
"tr02172","Subtext"
"tr02173","Testosterone Poisoning"
"tr02174","The Ace"
"tr02175","The Disease That Shall Not Be Named"
"tr02176","Too Good for This Sinful Earth"
"tr02177","Too Happy to Live"
"tr02178","Train Escape"
"tr02179","True Art Is Angsty"
"tr02180","Undignified Death"
"tr02181","Write Who You Know"
"tr02182","Chosen Conception Partner"
"tr02183","Dead Sparks"
"tr02184","Distinguished Gentleman's Pipe"
"tr02185","Doing It for the Art"
"tr02186","Like Father, Unlike Son"
"tr02187","ManipulativeBitch"
"tr02188","Ready for Lovemaking"
"tr02189","Sell-Out"
"tr02190","She Is Not My Girlfriend"
"tr02191","The Jeeves"
"tr02192","ThePreCodeEra"
"tr02193","Unrequited Love Tropes"
"tr02194","Bungled Suicide"
"tr02195","Calling the Old Man Out"
"tr02196","Face"
"tr02197","Office Lady"
"tr02198","Playing Against Type"
"tr02199","Playing the Victim Card"
"tr02200","Sex Equals Love"
"tr02201","Sexual Extortion"
"tr02202","Sleeping Their Way to the Top"
"tr02203","Straw Nihilist"
"tr02204","The Ingenue"
"tr02205","Titled After the Song"
"tr02206","Unwitting Instigator of Doom"
"tr02207","Beauty Is Never Tarnished"
"tr02208","Divorce Assets Conflict"
"tr02209","Divorce Is Temporary"
"tr02210","Funny Afro"
"tr02211","GrayAndGreyMorality"
"tr02212","I Owe You My Life"
"tr02213","Keep the Reward"
"tr02214","MusicalWorldHypothesis"
"tr02215","Skinny Dipping"
"tr02216","Social Circle Filler"
"tr02217","Behind Every Great Man"
"tr02218","Being Good Sucks"
"tr02219","Celibate Hero"
"tr02220","Clear My Name"
"tr02221","Downer Beginning"
"tr02222","Gold Digger"
"tr02223","I Will Wait for You"
"tr02224","Ice Queen"
"tr02225","Left for Dead"
"tr02226","Trouser Space"
"tr02227","UnconventionalCourtroomTactics"
"tr02228","Bestiality Is Depraved"
"tr02229","Half-Breed Discrimination"
"tr02230","Healthcare Motivation"
"tr02231","Injun Country"
"tr02232","Marital Rape License"
"tr02233","Poor Communication Kills"
"tr02234","Single Mom Stripper"
"tr02235","Smithical Marriage"
"tr02236","Writers Cannot Do Math"
"tr02237","Award Snub"
"tr02238","Death Montage"
"tr02239","Family Drama"
"tr02240","Progressive Era Montage"
"tr02241","The Eeyore"
"tr02242","Dead Artists Are Better"
"tr02243","Delayed Reaction"
"tr02244","Door Focus"
"tr02245","Dramatic Sit-Down"
"tr02246","Drowning Our Romantic Sorrows"
"tr02247","I Don't Want to Ruin Our Friendship"
"tr02248","Official Couple"
"tr02249","One True Threesome"
"tr02250","Right Behind Me"
"tr02251","Rom Com Job"
"tr02252","Threesome Subtext"
"tr02253","Translation Convention"
"tr02254","Twisted Echo Cut"
"tr02255","Celebrity Paradox"
"tr02256","Curse Cut Short"
"tr02257","Deus ex Machina"
"tr02258","Door Closes Ending"
"tr02259","Double Take"
"tr02260","Evil Gloating"
"tr02261","High Class Gloves"
"tr02262","Hyperlink Story"
"tr02263","Major Injury Underreaction"
"tr02264","SilentFilms"
"tr02265","Social Climber"
"tr02266","Ugly Guy, Hot Wife"
"tr02267","AlternateMonochromeVersion"
"tr02268","Applied Phlebotinum"
"tr02269","Beach Episode"
"tr02270","Beat Still, My Heart"
"tr02271","Bully and Wimp Pairing"
"tr02272","CreepyRedHerring"
"tr02273","Deadly Prank"
"tr02274","Dem Bones"
"tr02275","Disability Alibi"
"tr02276","Dueling Scar"
"tr02277","Electric Joybuzzer"
"tr02278","Explosive Cigar"
"tr02279","For Science!"
"tr02280","GPS Evidence"
"tr02281","ImAHumanitarian"
"tr02282","Lie Detector"
"tr02283","Lovable Coward"
"tr02284","Lunacy"
"tr02285","No Party Like a Donner Party"
"tr02286","Obfuscating Disability"
"tr02287","Porn Stash"
"tr02288","Red Herring"
"tr02289","Sadist"
"tr02290","Scary Flashlight Face"
"tr02291","Serial Killer"
"tr02292","Shoo Out the Clowns"
"tr02293","SlidingScaleOfComedyAndHorror"
"tr02294","SpiritualPredecessor"
"tr02295","Techno Babble"
"tr02296","The Tag"
"tr02297","Throw It In!"
"tr02298","Throwing Off the Disability"
"tr02299","TrailersAlwaysLie"
"tr02300","Undercrank"
"tr02301","Waking Up at the Morgue"
"tr02302","WellIntentionedExtremist"
"tr02303","ZigZaggingTrope"
"tr02304","Blackmail Is Such an Ugly Word"
"tr02305","Ironic Echo Cut"
"tr02306","Animated Tattoo"
"tr02307","Arson, Murder, and Jaywalking"
"tr02308","Bait-and-Switch Comment"
"tr02309","Behind the Black"
"tr02310","Bread, Eggs, Breaded Eggs"
"tr02311","BumblingHenchmanDuo"
"tr02312","Butt-Monkey"
"tr02313","Card-Carrying Villain"
"tr02314","Changing Clothes Is a Free Action"
"tr02315","Cool Sidecar"
"tr02316","Couldn't Find a Lighter"
"tr02317","CourtroomAntics"
"tr02318","Culture Police"
"tr02319","Cute Mute"
"tr02320","Ding-Dong-Ditch Distraction"
"tr02321","Drawing Straws"
"tr02322","Fiction 500"
"tr02323","Fictional Country"
"tr02324","For the Funnyz"
"tr02325","Fridge Logic"
"tr02326","FunnyPhoneMisunderstanding"
"tr02327","Glove Slap"
"tr02328","Gondor Calls for Aid"
"tr02329","Yiddish as a Second Language"
"tr02330","Hail to the Thief"
"tr02331","HairMemento"
"tr02332","Handshake Refusal"
"tr02333","Have We Met?"
"tr02334","ITakeOffenseToThatLastOne"
"tr02335","Implausible Deniability"
"tr02336","IndignantSlap"
"tr02337","Insult to Rocks"
"tr02338","It Won't Turn Off"
"tr02339","It's Probably Nothing"
"tr02340","Joker Jury"
"tr02341","Just a Stupid Accent"
"tr02342","Lampshaded Double Entendre"
"tr02343","Literal-Minded"
"tr02344","MST3K Mantra"
"tr02345","Malaproper"
"tr02346","Mathematician's Answer"
"tr02347","Meaningful Titles"
"tr02348","Mirror Routine"
"tr02349","Mundane Utility"
"tr02350","National Anthem"
"tr02351","New Era Speech"
"tr02352","Not Helping Your Case"
"tr02353","Official Presidential Transport"
"tr02354","Offscreen Crash"
"tr02355","On Second Thought"
"tr02356","Only One Name"
"tr02357","Pick a Card"
"tr02358","Please Select New City Name"
"tr02359","Premature Aggravation"
"tr02360","PresumedFlop"
"tr02361","Pretext for War"
"tr02362","Pungeon Master"
"tr02363","Rejected Apology"
"tr02364","RejectionProjection"
"tr02365","Right on the Tick"
"tr02366","Romancing the Widow"
"tr02367","Rule of Three"
"tr02368","Russian Reversal"
"tr02369","Senseless Violins"
"tr02370","Silly Reason for War"
"tr02371","SpontaneousSkeetShooting"
"tr02372","SpotTheImpostor"
"tr02373","Squick"
"tr02374","Strange Salute"
"tr02375","That Was Objectionable"
"tr02376","The Caligula"
"tr02377","The Hilarity of Hats"
"tr02378","The Triple"
"tr02379","This Means War!"
"tr02380","Transforming Vehicle"
"tr02381","You Are Fat"
"tr02382","You Fool!"
"tr02383","Awesome Moment of Crowning"
"tr02384","Banana Republic"
"tr02385","BludgeonedToDeath"
"tr02386","Chased by Angry Natives"
"tr02387","Designated Bullet"
"tr02388","DontGoIntoTheWoods"
"tr02389","Genre Savvy"
"tr02390","Gun Struggle"
"tr02391","Heartbeat Soundtrack"
"tr02392","La Résistance"
"tr02393","Machiavelli Was Wrong"
"tr02394","NighInvulnerable"
"tr02395","Protagonist Journey to Villain"
"tr02396","Psychological Torment Zone"
"tr02397","Scary Black Man"
"tr02398","Shirtless Scene"
"tr02399","Silver Bullet"
"tr02400","Swiss Bank Account"
"tr02401","Who Needs Enemies?"
"tr02402","All Amazons Want Hercules"
"tr02403","Best Her to Bed Her"
"tr02404","But Liquor Is Quicker"
"tr02405","Chickification"
"tr02406","Distracted by the Luxury"
"tr02407","Gender Scoff"
"tr02408","God Save Us from the Queen!"
"tr02409","Naughty by Night"
"tr02410","Never a Self-Made Woman"
"tr02411","No Guy Wants an Amazon"
"tr02412","No Guy Wants to Be Chased"
"tr02413","Sleeping with the Boss"
"tr02414","Blowing Smoke Rings"
"tr02415","Last-Second Word Swap"
"tr02416","Sassy Secretary"
"tr02417","The Glasses Gotta Go"
"tr02418","WillingSuspensionOfDisbelief"
"tr02419","Archangel Gabriel"
"tr02420","ArtisticLicensePolitics"
"tr02421","Author Filibuster"
"tr02422","Came Back Wrong"
"tr02423","Character Filibuster"
"tr02424","Dark Messiah"
"tr02425","Demonic Possession"
"tr02426","Emergency Authority"
"tr02427","Hyper-Competent Sidekick"
"tr02428","Immediate Self-Contradiction"
"tr02429","Lampshade Hanging"
"tr02430","Mind Screw"
"tr02431","Nightmare Fuel"
"tr02432","No Party Given"
"tr02433","Oppressive States of America"
"tr02434","Our Presidents Are Different"
"tr02435","The Lancer"
"tr02436","The Purge"
"tr02437","The Un-Reveal"
"tr02438","Totalitarian Utilitarian"
"tr02439","Utopia Justifies the Means"
"tr02440","Vice-President Who?"
"tr02441","Vocal Dissonance"
"tr02442","What's Up, King Dude?"
"tr02443","Covert Pervert"
"tr02444","Dutch Angle"
"tr02445","Fanservice Extra"
"tr02446","Gold Makes Everything Shiny"
"tr02447","In Love with the Mark"
"tr02448","Indecipherable Lyrics"
"tr02449","Letting the Air Out of the Band"
"tr02450","Lingerie Scene"
"tr02451","Money Song"
"tr02452","Pig Latin"
"tr02453","PopCultureOsmosis"
"tr02454","Rule of Cool"
"tr02455","Secretly Wealthy"
"tr02456","Sexy Silhouette"
"tr02457","Suspect Is Hatless"
"tr02458","Tron Lines"
"tr02459","DudeWheresMyRespect"
"tr02460","Fake Ultimate Hero"
"tr02461","Hobos"
"tr02462","It's a Small World After All"
"tr02463","Kill the Poor"
"tr02464","Miscarriage of Justice"
"tr02465","Nouveau Riche"
"tr02466","Picture-Perfect Presentation"
"tr02467","Powder Keg Crowd"
"tr02468","Prisoner Exchange"
"tr02469","Rabble Rouser"
"tr02470","Recovered Addict"
"tr02471","Straw Hypocrite"
"tr02472","Surprisingly Sudden Death"
"tr02473","Time-Compression Montage"
"tr02474","Cigarette of Anxiety"
"tr02475","Halfway Plot Switch"
"tr02476","Headbutt of Love"
"tr02477","Reasonable Authority Figure"
